amount,location,device,is_fraud
35066,mumbai,web,0
88435,mumbai,iphone,1
82393,mumbai,iphone,1
18594,chennai,android,0
1673,kolkata,web,0
71289,kolkata,web,0
33538,bangalore,android,0
75771,kolkata,iphone,1
81136,delhi,android,1
84076,delhi,iphone,1
76449,mumbai,web,0
42512,bangalore,android,1
26707,chennai,iphone,0
83598,mumbai,android,1
46607,bangalore,iphone,0
73663,bangalore,android,1
111,chennai,android,0
92598,chennai,android,0
56808,bangalore,web,0
65940,mumbai,iphone,0
19209,mumbai,android,0
81088,kolkata,android,0
68413,bangalore,web,0
51686,chennai,web,0
96907,chennai,android,0
7290,bangalore,android,0
66769,mumbai,web,0
50816,mumbai,android,0
77697,kolkata,iphone,1
75660,mumbai,android,0
4409,bangalore,android,1
32519,bangalore,android,0
60335,mumbai,iphone,0
38384,delhi,android,0
88554,bangalore,iphone,1
6062,chennai,web,0
14958,kolkata,iphone,0
65587,mumbai,android,0
7456,bangalore,web,0
67498,mumbai,web,0
82899,delhi,web,0
69484,kolkata,iphone,0
61388,bangalore,web,0
48584,mumbai,android,1
40218,delhi,iphone,0
46496,chennai,iphone,0
46931,bangalore,iphone,0
29687,bangalore,android,0
8835,mumbai,web,0
13625,bangalore,web,0
43141,chennai,iphone,0
16885,mumbai,android,0
71237,mumbai,web,1
47205,kolkata,android,0
39665,kolkata,android,0
87287,mumbai,web,1
1491,chennai,iphone,0
72590,chennai,iphone,1
7680,delhi,android,0
29684,kolkata,iphone,0
24236,chennai,web,0
67982,bangalore,iphone,0
46077,bangalore,android,0
59061,delhi,web,0
88996,bangalore,iphone,1
97855,bangalore,android,0
18669,mumbai,android,0
14924,kolkata,iphone,0
51399,chennai,web,0
50352,chennai,android,1
54110,chennai,iphone,0
39424,kolkata,web,0
77378,kolkata,android,1
96209,delhi,iphone,1
50689,kolkata,iphone,0
94496,mumbai,web,1
76096,mumbai,web,1
14460,chennai,android,0
15983,bangalore,web,0
90287,delhi,android,1
5663,bangalore,iphone,0
776,bangalore,iphone,0
9876,mumbai,android,0
40769,bangalore,iphone,0
52670,delhi,web,0
80206,kolkata,iphone,1
75321,delhi,web,1
55024,kolkata,android,1
42469,mumbai,android,0
53500,kolkata,android,0
17199,delhi,web,0
46702,chennai,android,0
90883,chennai,iphone,1
19029,mumbai,android,0
62726,bangalore,iphone,0
98693,chennai,android,0
55540,bangalore,web,0
77517,chennai,iphone,0
28159,mumbai,android,0
62681,kolkata,web,0
39991,mumbai,web,0
57831,delhi,web,0
86527,mumbai,iphone,1
73113,kolkata,web,1
56895,chennai,iphone,0
42182,kolkata,web,0
32088,delhi,iphone,0
16638,delhi,android,0
22079,delhi,web,0
2885,delhi,android,0
92292,bangalore,web,1
83665,delhi,android,0
9095,kolkata,web,0
70315,mumbai,iphone,1
76841,bangalore,web,1
41638,mumbai,iphone,0
73180,kolkata,android,1
24811,delhi,web,0
72697,delhi,android,1
55339,delhi,android,0
24541,bangalore,android,0
68819,mumbai,android,0
59056,mumbai,web,0
73282,bangalore,web,1
66608,chennai,iphone,0
38997,mumbai,iphone,0
66109,chennai,iphone,0
94362,mumbai,web,0
62874,mumbai,iphone,0
98888,kolkata,web,1
63568,mumbai,iphone,0
30582,chennai,android,0
1569,bangalore,web,0
12677,mumbai,android,0
99793,kolkata,iphone,1
48338,mumbai,android,0
37071,bangalore,iphone,0
57157,chennai,iphone,0
1877,kolkata,web,0
78935,kolkata,iphone,0
26011,chennai,iphone,0
75731,mumbai,web,0
15353,kolkata,iphone,0
24495,chennai,iphone,0
58779,kolkata,android,0
87793,mumbai,web,0
70509,delhi,iphone,1
3766,chennai,web,0
92604,bangalore,web,1
42254,chennai,android,0
34888,chennai,iphone,0
21469,kolkata,web,0
15770,mumbai,web,0
75435,kolkata,web,1
69166,kolkata,android,1
58756,kolkata,android,1
79531,delhi,web,1
59815,bangalore,android,1
33079,kolkata,android,1
70806,chennai,iphone,0
66785,chennai,android,1
4713,mumbai,web,0
16444,delhi,iphone,0
73923,delhi,android,1
70430,mumbai,iphone,1
83116,chennai,web,1
4442,delhi,iphone,0
65502,delhi,iphone,0
76711,chennai,iphone,1
89144,mumbai,web,1
18477,chennai,iphone,0
58525,mumbai,android,0
52446,mumbai,android,0
46747,kolkata,web,0
58944,bangalore,web,0
19535,kolkata,web,0
37181,mumbai,android,0
77490,bangalore,android,0
41815,bangalore,web,1
59717,chennai,web,0
96143,bangalore,web,1
39733,mumbai,web,0
47082,mumbai,web,0
99321,chennai,web,1
69939,chennai,android,1
33042,delhi,android,0
86449,kolkata,web,1
85128,mumbai,web,1
69358,bangalore,web,0
13666,mumbai,android,0
74550,bangalore,android,0
41580,mumbai,iphone,0
60783,mumbai,android,0
81279,bangalore,iphone,1
85495,mumbai,iphone,0
81124,kolkata,android,1
63430,kolkata,iphone,0
42305,kolkata,web,0
92199,mumbai,web,0
91063,chennai,web,1
63447,kolkata,web,1
49789,kolkata,iphone,0
60409,chennai,iphone,0
27566,bangalore,iphone,0
36900,mumbai,android,0
69415,kolkata,android,0
48881,mumbai,android,0
23162,chennai,web,0
21,delhi,android,0
26,bangalore,iphone,0
72997,chennai,web,0
24617,delhi,web,0
32671,kolkata,web,0
57128,chennai,android,0
30481,delhi,iphone,0
7774,delhi,iphone,0
5875,delhi,iphone,0
46320,delhi,android,0
64356,mumbai,android,0
52369,chennai,web,0
44235,chennai,android,1
73793,bangalore,web,1
35931,kolkata,android,0
34162,mumbai,web,0
74788,mumbai,iphone,0
47881,chennai,android,0
86077,kolkata,iphone,1
88848,bangalore,web,0
33028,mumbai,web,0
62304,bangalore,android,0
35969,delhi,android,0
75239,mumbai,iphone,0
37538,bangalore,android,0
46992,kolkata,iphone,0
46454,mumbai,android,0
94981,bangalore,iphone,1
84611,delhi,iphone,1
47816,kolkata,android,0
37242,bangalore,web,0
38876,chennai,android,0
3648,kolkata,iphone,0
71634,delhi,web,1
20278,delhi,android,0
39870,chennai,android,1
94756,chennai,android,1
70952,mumbai,android,1
89285,bangalore,android,1
85317,delhi,iphone,1
30895,mumbai,android,1
11413,mumbai,iphone,0
93929,delhi,web,1
14729,mumbai,web,0
8429,delhi,web,0
19399,delhi,iphone,0
94177,delhi,web,0
85333,chennai,iphone,1
81853,mumbai,iphone,1
53668,mumbai,iphone,0
39353,mumbai,web,0
26723,bangalore,iphone,0
33511,delhi,iphone,0
74986,bangalore,iphone,1
79747,bangalore,iphone,1
92055,kolkata,iphone,1
79092,kolkata,android,1
47039,bangalore,iphone,1
12392,kolkata,web,0
39616,mumbai,web,1
81980,chennai,android,0
51970,kolkata,iphone,0
75168,bangalore,iphone,1
22864,bangalore,iphone,1
95293,mumbai,iphone,1
14510,delhi,android,0
99855,bangalore,android,1
19788,mumbai,iphone,0
72704,kolkata,android,1
23918,bangalore,web,0
30269,mumbai,android,0
44594,delhi,web,0
74165,mumbai,android,1
71790,kolkata,web,1
28138,kolkata,android,0
70256,kolkata,iphone,0
71199,chennai,android,0
32514,mumbai,web,1
55119,kolkata,iphone,0
19276,chennai,android,0
45357,mumbai,android,0
22703,chennai,iphone,0
18428,mumbai,web,0
88435,chennai,iphone,0
58293,mumbai,iphone,1
11028,chennai,web,0
13557,mumbai,iphone,0
70462,chennai,web,0
18434,bangalore,iphone,0
53167,chennai,iphone,0
29861,chennai,iphone,0
24937,kolkata,android,0
12211,kolkata,web,0
84993,chennai,android,1
41396,bangalore,iphone,0
49748,chennai,iphone,0
54043,mumbai,web,1
89960,chennai,web,1
17147,kolkata,android,0
46178,delhi,web,0
68336,kolkata,android,0
26031,bangalore,iphone,0
63809,delhi,android,0
18469,mumbai,iphone,0
56239,chennai,web,0
15110,delhi,android,0
42336,delhi,android,0
18717,bangalore,android,0
71450,mumbai,android,1
45259,delhi,iphone,0
52910,chennai,iphone,0
97555,bangalore,web,1
63379,mumbai,iphone,0
92610,mumbai,web,1
10053,mumbai,iphone,0
96149,bangalore,web,1
74282,delhi,web,0
54745,delhi,iphone,0
56659,bangalore,iphone,0
42698,bangalore,android,1
39468,delhi,android,0
50194,chennai,iphone,0
70756,chennai,iphone,1
84048,delhi,android,1
37231,mumbai,iphone,0
52738,mumbai,iphone,0
36750,kolkata,android,0
75461,bangalore,android,1
56676,kolkata,iphone,0
598,chennai,iphone,0
4331,mumbai,android,0
106,delhi,web,0
60998,chennai,iphone,0
91928,kolkata,android,1
74443,mumbai,android,0
78724,kolkata,web,1
22339,mumbai,web,1
32073,mumbai,iphone,0
17122,mumbai,android,0
78757,mumbai,iphone,1
47765,mumbai,iphone,0
94427,kolkata,android,1
50875,kolkata,iphone,0
98974,bangalore,iphone,1
50159,chennai,web,0
85097,chennai,iphone,0
55759,kolkata,android,0
55742,chennai,iphone,0
426,mumbai,android,0
4931,chennai,iphone,1
56882,mumbai,iphone,0
43011,mumbai,android,1
4671,kolkata,iphone,0
92624,delhi,android,1
5314,kolkata,iphone,0
90918,mumbai,web,1
82105,mumbai,web,0
50174,delhi,web,1
32096,delhi,web,0
2110,bangalore,web,0
98768,bangalore,web,1
7333,delhi,iphone,0
52959,chennai,web,0
45655,kolkata,iphone,0
28228,bangalore,android,0
72880,chennai,android,1
13985,mumbai,android,0
48134,delhi,iphone,0
54281,mumbai,android,1
99845,bangalore,web,1
55074,kolkata,android,1
37736,mumbai,web,0
57362,bangalore,android,0
66773,delhi,iphone,0
56920,bangalore,iphone,0
5547,delhi,android,0
39456,delhi,iphone,0
32866,bangalore,iphone,0
43361,bangalore,iphone,0
71100,mumbai,iphone,1
752,mumbai,android,0
35268,kolkata,web,0
21642,chennai,android,0
51925,delhi,iphone,0
54563,chennai,android,0
11376,bangalore,android,0
76347,chennai,android,0
28345,kolkata,android,0
95350,delhi,web,0
84920,mumbai,iphone,0
32323,mumbai,web,0
72661,delhi,android,1
3733,chennai,web,0
30707,chennai,iphone,0
38855,chennai,android,0
62547,bangalore,iphone,0
43870,mumbai,android,0
61241,bangalore,android,0
19052,kolkata,web,0
33716,delhi,web,0
50983,chennai,android,1
36778,mumbai,iphone,0
61241,kolkata,iphone,0
1682,kolkata,android,0
50963,bangalore,web,0
88185,delhi,android,1
54086,chennai,android,1
20563,chennai,android,0
84550,chennai,android,1
18950,kolkata,iphone,0
3347,kolkata,web,0
86085,bangalore,web,0
9571,kolkata,android,0
74847,chennai,android,1
69941,delhi,android,0
41563,delhi,web,1
57485,mumbai,iphone,0
31222,mumbai,android,0
37975,chennai,iphone,0
60206,chennai,iphone,0
84697,bangalore,iphone,1
50757,chennai,web,0
12578,delhi,web,0
12968,delhi,iphone,0
82409,mumbai,web,1
15648,bangalore,web,0
60797,mumbai,web,0
14440,bangalore,iphone,0
32059,bangalore,iphone,0
69058,mumbai,android,0
97324,delhi,web,1
41187,bangalore,iphone,0
4749,delhi,iphone,0
93729,delhi,web,1
98753,bangalore,iphone,1
69899,bangalore,iphone,0
84736,chennai,android,1
43781,delhi,android,0
70703,chennai,web,1
36195,mumbai,iphone,0
9169,bangalore,web,0
34124,delhi,web,0
12651,kolkata,web,0
80052,delhi,iphone,1
57679,mumbai,iphone,0
67733,kolkata,iphone,0
91132,kolkata,web,1
38074,kolkata,web,0
91746,bangalore,android,1
59311,chennai,iphone,0
22101,mumbai,android,0
75367,kolkata,web,1
69016,bangalore,iphone,1
87278,kolkata,web,1
95856,mumbai,web,1
96540,bangalore,android,1
39159,chennai,iphone,0
24573,delhi,iphone,1
56034,delhi,iphone,0
97506,mumbai,android,0
36520,bangalore,android,1
50836,kolkata,android,0
80883,kolkata,iphone,0
94329,kolkata,android,0
53329,bangalore,iphone,1
52986,mumbai,android,0
6396,mumbai,iphone,0
17488,mumbai,web,0
85473,chennai,web,0
94066,chennai,web,1
78633,delhi,android,0
54747,chennai,web,0
30971,bangalore,web,0
24387,chennai,web,0
77440,chennai,android,1
48300,bangalore,android,0
64874,mumbai,iphone,0
94099,bangalore,web,1
71812,mumbai,iphone,1
94496,delhi,android,1
77130,kolkata,android,0
75459,mumbai,web,1
18600,chennai,iphone,0
98009,chennai,web,1
39299,bangalore,iphone,0
77901,kolkata,iphone,1
85982,mumbai,android,0
67492,chennai,iphone,0
10532,mumbai,web,0
36208,kolkata,web,0
57082,delhi,web,1
23162,chennai,iphone,0
59359,kolkata,iphone,0
32020,bangalore,iphone,1
94188,mumbai,web,1
53953,bangalore,web,0
5215,mumbai,web,0
27671,mumbai,web,0
94466,bangalore,web,1
59847,bangalore,iphone,0
95576,delhi,iphone,1
53607,kolkata,iphone,0
88221,bangalore,iphone,0
27876,delhi,web,0
43672,chennai,web,1
69840,bangalore,iphone,0
25300,chennai,android,0
16517,chennai,web,0
95578,chennai,android,1
7743,mumbai,iphone,0
82093,mumbai,android,1
28666,delhi,iphone,0
54455,chennai,web,0
54900,bangalore,web,0
69091,delhi,web,0
84408,bangalore,iphone,1
8137,mumbai,web,0
11924,chennai,web,0
70357,chennai,iphone,1
22173,delhi,web,0
99470,chennai,android,1
3535,bangalore,iphone,0
67833,mumbai,android,0
77580,bangalore,android,1
81751,kolkata,web,1
7942,delhi,iphone,0
18809,kolkata,android,0
33961,chennai,android,0
11905,delhi,iphone,0
8362,bangalore,iphone,0
47942,chennai,iphone,0
13977,kolkata,web,0
53741,mumbai,android,0
50435,kolkata,web,0
64864,delhi,web,0
67637,kolkata,android,1
24717,delhi,android,0
35412,bangalore,android,0
1777,bangalore,android,0
79627,bangalore,iphone,1
70314,bangalore,android,0
4073,kolkata,iphone,0
5168,chennai,android,0
62977,mumbai,android,0
69189,bangalore,web,0
11472,mumbai,web,0
48820,mumbai,android,0
67266,chennai,web,1
78003,bangalore,android,0
51622,kolkata,android,0
66422,kolkata,android,0
82216,delhi,iphone,1
63257,kolkata,iphone,0
39461,delhi,android,1
58557,mumbai,iphone,0
24253,kolkata,iphone,0
22497,mumbai,android,0
29874,chennai,web,0
42077,mumbai,iphone,1
55498,mumbai,android,0
94668,delhi,web,0
86298,mumbai,iphone,1
52418,bangalore,android,0
42136,kolkata,web,0
88681,mumbai,iphone,1
73998,kolkata,iphone,1
22937,mumbai,android,0
58252,bangalore,iphone,1
50008,kolkata,web,0
3704,mumbai,web,0
95479,delhi,iphone,0
6560,chennai,iphone,0
88028,mumbai,web,1
49690,mumbai,android,0
56994,kolkata,web,0
60407,delhi,android,0
71308,mumbai,web,1
81972,mumbai,android,1
5362,kolkata,android,0
1872,chennai,web,0
88544,chennai,web,0
93367,delhi,android,1
31370,delhi,web,0
98326,delhi,android,0
68135,kolkata,iphone,0
59648,delhi,android,0
83446,kolkata,iphone,1
74929,bangalore,iphone,1
47420,kolkata,android,1
55664,chennai,iphone,0
32603,bangalore,android,0
20075,mumbai,android,0
37981,bangalore,web,0
28042,chennai,iphone,0
43612,kolkata,web,0
94447,delhi,android,0
38693,bangalore,web,0
12494,mumbai,android,0
97678,mumbai,iphone,1
49016,delhi,android,0
1505,chennai,iphone,0
61954,delhi,web,0
83049,mumbai,web,1
56805,delhi,android,0
8090,delhi,iphone,0
50470,chennai,web,1
45754,mumbai,android,0
48875,chennai,iphone,0
50574,chennai,web,0
36426,chennai,iphone,0
82195,kolkata,android,1
28918,mumbai,android,0
89767,chennai,iphone,1
2576,mumbai,iphone,0
15409,mumbai,iphone,0
49248,bangalore,android,0
75152,chennai,iphone,1
78902,delhi,iphone,1
83453,kolkata,iphone,1
87238,mumbai,android,0
15670,chennai,web,0
64892,chennai,android,0
70681,delhi,web,1
92867,mumbai,web,1
62745,mumbai,android,0
12908,kolkata,android,0
73453,mumbai,android,1
43796,mumbai,web,1
44968,chennai,iphone,0
815,mumbai,iphone,0
28350,bangalore,android,0
87415,bangalore,web,1
63077,kolkata,android,1
31608,chennai,android,0
92830,bangalore,web,1
12038,kolkata,iphone,0
93805,mumbai,web,1
39043,mumbai,web,0
53833,delhi,android,0
93667,bangalore,web,0
18859,kolkata,android,0
84400,chennai,web,1
68460,delhi,iphone,0
71288,bangalore,web,1
42398,chennai,iphone,0
76010,delhi,iphone,1
44027,chennai,web,0
80251,delhi,web,1
71420,kolkata,web,1
26466,bangalore,android,0
86573,chennai,android,0
78810,kolkata,android,1
48681,kolkata,iphone,0
32724,bangalore,web,0
18859,kolkata,iphone,0
70049,chennai,web,1
62341,delhi,android,0
46316,delhi,android,1
16185,bangalore,web,0
63584,bangalore,web,0
30503,chennai,iphone,0
55310,bangalore,android,0
53374,chennai,iphone,0
2562,bangalore,android,0
25926,mumbai,web,1
28535,mumbai,android,0
51369,chennai,android,0
3492,mumbai,android,0
51075,kolkata,web,0
97803,chennai,android,1
71893,mumbai,web,1
69424,delhi,web,0
59594,bangalore,iphone,0
90365,mumbai,web,0
70381,chennai,iphone,1
24123,delhi,iphone,0
83630,delhi,android,1
99008,chennai,android,1
68027,mumbai,android,0
68586,bangalore,android,0
84902,delhi,android,1
11259,kolkata,iphone,0
74384,bangalore,iphone,1
68088,mumbai,android,0
7109,bangalore,iphone,0
18606,mumbai,web,0
53599,delhi,android,0
49546,mumbai,web,1
29804,bangalore,web,0
85092,bangalore,android,0
10719,chennai,android,0
85766,delhi,web,1
9075,delhi,android,0
58844,mumbai,web,0
9168,chennai,web,0
55600,delhi,android,0
93112,chennai,web,1
34362,kolkata,android,0
16337,chennai,web,0
26081,chennai,iphone,0
92249,delhi,iphone,1
56483,kolkata,iphone,0
93696,chennai,iphone,1
98686,chennai,android,1
20993,delhi,iphone,0
24396,delhi,web,0
50575,bangalore,iphone,0
49462,bangalore,web,0
85900,kolkata,iphone,0
21880,bangalore,iphone,0
16444,delhi,android,0
35152,chennai,android,0
84045,mumbai,web,0
58994,chennai,web,0
25647,mumbai,iphone,0
3916,bangalore,android,0
69373,kolkata,iphone,0
78321,chennai,android,1
73651,bangalore,iphone,0
75022,kolkata,web,1
3019,delhi,iphone,0
11559,delhi,iphone,0
4985,kolkata,web,0
94242,kolkata,web,1
9849,bangalore,iphone,0
68339,kolkata,iphone,0
77830,delhi,iphone,1
14450,delhi,web,0
85343,delhi,web,0
56005,delhi,android,0
74838,delhi,web,1
63845,mumbai,android,0
9645,delhi,web,0
13190,chennai,web,0
50456,kolkata,android,0
80333,chennai,iphone,0
48732,kolkata,iphone,0
84743,chennai,web,1
31492,mumbai,iphone,0
16935,mumbai,iphone,0
41799,kolkata,iphone,0
88676,delhi,android,1
477,bangalore,android,0
69188,kolkata,iphone,0
70601,mumbai,web,0
54923,bangalore,android,0
99131,kolkata,web,0
2163,delhi,web,0
32917,chennai,web,0
34284,mumbai,iphone,0
69297,chennai,iphone,0
76361,mumbai,web,1
40014,delhi,iphone,0
84170,chennai,android,0
533,kolkata,android,0
55351,bangalore,web,0
73940,delhi,android,1
28605,delhi,android,0
42923,kolkata,iphone,0
77725,delhi,android,0
69199,kolkata,iphone,0
41683,delhi,web,0
33636,chennai,web,0
8875,mumbai,web,0
83575,chennai,android,0
35781,mumbai,iphone,0
29164,delhi,iphone,0
8633,mumbai,iphone,0
48598,chennai,web,0
7418,chennai,android,0
66315,kolkata,android,0
55692,mumbai,android,0
30895,delhi,iphone,0
41453,chennai,web,0
96452,chennai,iphone,0
99892,mumbai,web,1
38618,bangalore,iphone,0
61417,kolkata,iphone,0
86775,chennai,iphone,1
28114,delhi,iphone,0
81042,mumbai,web,1
99316,chennai,web,0
61406,chennai,web,0
17588,bangalore,iphone,0
72169,mumbai,android,1
41472,chennai,web,0
62296,delhi,iphone,1
35482,kolkata,android,0
36960,bangalore,iphone,0
9995,delhi,web,0
29000,kolkata,iphone,0
98596,mumbai,iphone,0
61234,bangalore,iphone,0
74924,bangalore,web,1
8613,bangalore,android,0
11975,kolkata,iphone,0
35546,delhi,android,0
8759,delhi,web,0
32986,delhi,android,0
3854,chennai,iphone,0
79764,mumbai,iphone,1
22850,bangalore,android,0
26258,chennai,android,0
22773,mumbai,web,0
40456,chennai,iphone,0
84050,mumbai,web,1
15490,chennai,iphone,0
62916,delhi,iphone,0
76778,chennai,android,1
11490,mumbai,web,0
12627,mumbai,android,0
74749,delhi,iphone,0
42239,delhi,iphone,1
42076,mumbai,iphone,0
45819,chennai,iphone,0
2564,bangalore,android,0
60738,chennai,android,0
35894,mumbai,android,0
81210,kolkata,web,1
10805,kolkata,android,0
72168,kolkata,web,1
54824,kolkata,android,0
98339,mumbai,iphone,1
98661,chennai,android,1
97119,delhi,android,0
48429,mumbai,android,0
75935,kolkata,android,1
3892,chennai,android,0
24399,bangalore,iphone,0
43804,mumbai,android,0
86520,kolkata,web,1
24520,chennai,iphone,0
8115,bangalore,android,0
9936,bangalore,iphone,0
71444,bangalore,android,0
37817,chennai,web,0
52159,delhi,web,0
15097,mumbai,android,0
99664,kolkata,iphone,1
60292,delhi,iphone,1
86964,delhi,iphone,0
42176,chennai,iphone,0
68300,chennai,web,0
16789,mumbai,iphone,0
49598,delhi,android,0
34673,delhi,android,0
3305,bangalore,web,0
30137,delhi,iphone,0
27028,mumbai,web,0
76460,mumbai,iphone,1
75444,chennai,android,1
49433,chennai,iphone,0
30340,bangalore,android,0
21576,kolkata,android,0
80720,bangalore,android,1
66691,bangalore,android,0
91286,chennai,web,0
58461,kolkata,iphone,1
97994,delhi,iphone,1
96068,mumbai,iphone,0
96252,chennai,iphone,0
92647,bangalore,iphone,1
83588,mumbai,web,0
48098,delhi,iphone,0
28580,chennai,iphone,0
99417,kolkata,iphone,1
49548,delhi,web,0
19057,delhi,web,0
97915,chennai,web,1
88726,delhi,web,1
81681,chennai,iphone,0
4254,chennai,android,1
54943,bangalore,iphone,0
27441,bangalore,android,0
57052,bangalore,android,0
80748,kolkata,android,0
42079,mumbai,web,0
66208,delhi,web,0
66339,delhi,iphone,0
72698,delhi,web,0
89010,chennai,web,1
61013,bangalore,web,0
2757,mumbai,iphone,0
86849,chennai,iphone,0
91449,bangalore,web,1
18071,bangalore,web,0
5951,chennai,web,0
36042,chennai,web,0
12594,chennai,web,0
34318,chennai,android,0
55724,delhi,iphone,0
90765,delhi,web,0
47929,mumbai,iphone,0
95944,chennai,android,0
40801,chennai,android,0
70431,bangalore,web,1
95904,mumbai,android,0
36048,mumbai,android,0
73569,chennai,android,1
85715,chennai,web,1
47183,delhi,iphone,0
31734,kolkata,android,0
28415,mumbai,iphone,1
87163,delhi,android,1
9489,mumbai,iphone,0
18880,kolkata,android,0
96770,bangalore,android,1
7568,kolkata,web,0
92120,bangalore,web,1
60710,chennai,web,0
94568,bangalore,web,1
42833,kolkata,web,0
5559,delhi,iphone,0
28824,delhi,iphone,0
48094,kolkata,web,1
50895,kolkata,web,0
62108,bangalore,web,0
70014,bangalore,android,0
7388,delhi,web,0
50103,bangalore,iphone,1
58399,delhi,iphone,0
18758,delhi,android,0
21161,delhi,iphone,1
46915,kolkata,android,0
2027,kolkata,web,0
71965,delhi,android,0
41407,delhi,web,1
60405,kolkata,iphone,0
22157,bangalore,web,1
78487,chennai,web,1
75571,mumbai,android,1
57998,mumbai,web,1
84232,bangalore,iphone,0
7534,kolkata,web,0
37869,bangalore,web,0
32079,mumbai,iphone,0
67194,mumbai,android,0
2627,kolkata,android,0
72124,chennai,iphone,1
42043,bangalore,web,0
50064,mumbai,web,0
44203,bangalore,iphone,0
87566,kolkata,iphone,0
28954,chennai,android,0
40496,kolkata,android,0
88818,chennai,iphone,1
11489,bangalore,android,0
25319,delhi,web,0
15512,delhi,iphone,0
25349,kolkata,android,0
71978,mumbai,web,1
57351,kolkata,android,0
20973,bangalore,web,0
86826,mumbai,android,1
82921,chennai,android,1
9173,mumbai,iphone,0
47220,bangalore,android,0
54887,bangalore,android,0
95017,chennai,web,1
68182,mumbai,iphone,0
90037,chennai,iphone,1
10410,mumbai,web,0
19438,chennai,iphone,0
7872,kolkata,iphone,0
94945,mumbai,android,1
33229,mumbai,android,0
25411,bangalore,iphone,0
58835,chennai,web,1
89757,delhi,web,1
80301,chennai,iphone,1
47982,delhi,iphone,0
6712,bangalore,web,0
68787,mumbai,web,0
71124,mumbai,iphone,0
61426,bangalore,web,0
85977,kolkata,web,0
98294,delhi,android,1
17618,bangalore,web,0
65554,mumbai,iphone,0
17928,delhi,iphone,0
16003,mumbai,web,0
14526,delhi,iphone,0
76699,bangalore,android,0
38394,chennai,iphone,0
50809,mumbai,android,0
91864,delhi,iphone,0
46671,chennai,web,0
24103,kolkata,web,0
56000,bangalore,web,0
23211,chennai,iphone,0
15294,mumbai,web,0
62360,kolkata,android,0
17751,bangalore,web,0
48657,kolkata,web,0
88534,mumbai,android,1
8714,mumbai,web,0
70148,chennai,iphone,1
29474,mumbai,android,0
46049,chennai,iphone,1
99579,chennai,iphone,0
38402,kolkata,web,0
99196,mumbai,web,1
89603,bangalore,android,1
64419,bangalore,android,0
68038,mumbai,android,0
27317,kolkata,android,0
39875,mumbai,iphone,1
13440,bangalore,web,1
42803,chennai,iphone,1
36879,delhi,iphone,0
78832,bangalore,web,1
70156,kolkata,web,0
93163,chennai,iphone,0
88025,chennai,web,0
55422,mumbai,iphone,0
21174,chennai,android,0
8825,delhi,web,0
8346,bangalore,iphone,0
33615,bangalore,iphone,0
73250,mumbai,android,1
90303,bangalore,android,1
77277,delhi,iphone,1
5780,kolkata,iphone,0
83414,delhi,android,1
70523,bangalore,android,1
71368,mumbai,web,1
42423,delhi,web,0
74490,kolkata,iphone,1
41251,kolkata,android,1
74264,chennai,android,1
42503,mumbai,android,0
10100,chennai,android,0
48394,kolkata,iphone,0
59178,delhi,android,0
53690,chennai,android,1
40380,mumbai,web,0
66296,delhi,web,1
69351,mumbai,android,1
21561,kolkata,android,0
23497,chennai,web,0
74106,kolkata,iphone,1
19513,bangalore,web,0
